地方公共団体コード,都道府県名,市町村名
10006,北海道,
11002,北海道,札幌市
12025,北海道,函館市
12033,北海道,小樽市
12041,北海道,旭川市
12050,北海道,室蘭市
12068,北海道,釧路市
12076,北海道,帯広市
12084,北海道,北見市
12092,北海道,夕張市
12106,北海道,岩見沢市
12114,北海道,網走市
12122,北海道,留萌市
12131,北海道,苫小牧市
12149,北海道,稚内市
12157,北海道,美唄市
12165,北海道,芦別市
12173,北海道,江別市
12181,北海道,赤平市
12190,北海道,紋別市
12203,北海道,士別市
12211,北海道,名寄市
12220,北海道,三笠市
12238,北海道,根室市
12246,北海道,千歳市
12254,北海道,滝川市
12262,北海道,砂川市
12271,北海道,歌志内市
12289,北海道,深川市
12297,北海道,富良野市
12301,北海道,登別市
12319,北海道,恵庭市
12335,北海道,伊達市
12343,北海道,北広島市
12351,北海道,石狩市
12360,北海道,北斗市
13030,北海道,当別町
13048,北海道,新篠津村
13315,北海道,松前町
13323,北海道,福島町
13331,北海道,知内町
13340,北海道,木古内町
13374,北海道,七飯町
13439,北海道,鹿部町
13455,北海道,森町
13463,北海道,八雲町
13471,北海道,長万部町
13617,北海道,江差町
13625,北海道,上ノ国町
13633,北海道,厚沢部町
13641,北海道,乙部町
13676,北海道,奥尻町
13706,北海道,今金町
13714,北海道,せたな町
13919,北海道,島牧村
13927,北海道,寿都町
13935,北海道,黒松内町
13943,北海道,蘭越町
13951,北海道,ニセコ町
13960,北海道,真狩村
13978,北海道,留寿都村
13986,北海道,喜茂別町
13994,北海道,京極町
14001,北海道,倶知安町
14010,北海道,共和町
14028,北海道,岩内町
14036,北海道,泊村
14044,北海道,神恵内村
14052,北海道,積丹町
14061,北海道,古平町
14079,北海道,仁木町
14087,北海道,余市町
14095,北海道,赤井川村
14231,北海道,南幌町
14249,北海道,奈井江町
14257,北海道,上砂川町
14273,北海道,由仁町
14281,北海道,長沼町
14290,北海道,栗山町
14303,北海道,月形町
14311,北海道,浦臼町
14320,北海道,新十津川町
14338,北海道,妹背牛町
14346,北海道,秩父別町
14362,北海道,雨竜町
14371,北海道,北竜町
14389,北海道,沼田町
14397,北海道,幌加内町
14524,北海道,鷹栖町
14532,北海道,東神楽町
14541,北海道,当麻町
14559,北海道,比布町
14567,北海道,愛別町
14575,北海道,上川町
14583,北海道,東川町
14591,北海道,美瑛町
14605,北海道,上富良野町
14613,北海道,中富良野町
14621,北海道,南富良野町
14630,北海道,占冠村
14648,北海道,和寒町
14656,北海道,剣淵町
14681,北海道,下川町
14699,北海道,美深町
14702,北海道,音威子府村
14711,北海道,中川町
14818,北海道,増毛町
14826,北海道,小平町
14834,北海道,苫前町
14842,北海道,羽幌町
14851,北海道,初山別村
14869,北海道,遠別町
14877,北海道,天塩町
14885,北海道,幌延町
15113,北海道,猿払村
15121,北海道,浜頓別町
15130,北海道,中頓別町
15148,北海道,枝幸町
15164,北海道,豊富町
15172,北海道,礼文町
15181,北海道,利尻町
15199,北海道,利尻富士町
15431,北海道,美幌町
15440,北海道,津別町
15458,北海道,斜里町
15466,北海道,清里町
15474,北海道,小清水町
15491,北海道,訓子府町
15504,北海道,置戸町
15521,北海道,佐呂間町
15555,北海道,遠軽町
15580,北海道,上湧別町
15598,北海道,湧別町
15601,北海道,滝上町
15610,北海道,興部町
15628,北海道,西興部村
15636,北海道,雄武町
15644,北海道,大空町
15717,北海道,豊浦町
15750,北海道,壮瞥町
15784,北海道,白老町
15814,北海道,厚真町
15849,北海道,洞爺湖町
15857,北海道,安平町
15865,北海道,むかわ町
16012,北海道,日高町
16021,北海道,平取町
16047,北海道,新冠町
16071,北海道,浦河町
16080,北海道,様似町
16098,北海道,えりも町
16101,北海道,新ひだか町
16314,北海道,音更町
16322,北海道,士幌町
16331,北海道,上士幌町
16349,北海道,鹿追町
16357,北海道,新得町
16365,北海道,清水町
16373,北海道,芽室町
16381,北海道,中札内村
16390,北海道,更別村
16411,北海道,大樹町
16420,北海道,広尾町
16438,北海道,幕別町
16446,北海道,池田町
16454,北海道,豊頃町
16462,北海道,本別町
16471,北海道,足寄町
16489,北海道,陸別町
16497,北海道,浦幌町
16616,北海道,釧路町
16624,北海道,厚岸町
16632,北海道,浜中町
16641,北海道,標茶町
16659,北海道,弟子屈町
16675,北海道,鶴居村
16683,北海道,白糠町
16918,北海道,別海町
16926,北海道,中標津町
16934,北海道,標津町
16942,北海道,羅臼町
20001,青森県,
22012,青森県,青森市
22021,青森県,弘前市
22039,青森県,八戸市
22047,青森県,黒石市
22055,青森県,五所川原市
22063,青森県,十和田市
22071,青森県,三沢市
22080,青森県,むつ市
22098,青森県,つがる市
22101,青森県,平川市
23019,青森県,平内町
23035,青森県,今別町
23043,青森県,蓬田村
23078,青森県,外ヶ浜町
23213,青森県,鰺ヶ沢町
23230,青森県,深浦町
23434,青森県,西目屋村
23612,青森県,藤崎町
23621,青森県,大鰐町
23671,青森県,田舎館村
23817,青森県,板柳町
23841,青森県,鶴田町
23876,青森県,中泊町
24015,青森県,野辺地町
24023,青森県,七戸町
24058,青森県,六戸町
24066,青森県,横浜町
24082,青森県,東北町
24112,青森県,六ヶ所村
24121,青森県,おいらせ町
24236,青森県,大間町
24244,青森県,東通村
24252,青森県,風間浦村
24261,青森県,佐井村
24414,青森県,三戸町
24422,青森県,五戸町
24431,青森県,田子町
24457,青森県,南部町
24465,青森県,階上町
24503,青森県,新郷村
30007,岩手県,
32018,岩手県,盛岡市
32026,岩手県,宮古市
32034,岩手県,大船渡市
32051,岩手県,花巻市
32069,岩手県,北上市
32077,岩手県,久慈市
32085,岩手県,遠野市
32093,岩手県,一関市
32107,岩手県,陸前高田市
32115,岩手県,釜石市
32131,岩手県,二戸市
32140,岩手県,八幡平市
32158,岩手県,奥州市
33014,岩手県,雫石町
33022,岩手県,葛巻町
33031,岩手県,岩手町
33057,岩手県,滝沢村
33219,岩手県,紫波町
33227,岩手県,矢巾町
33669,岩手県,西和賀町
33812,岩手県,金ヶ崎町
34029,岩手県,平泉町
34223,岩手県,藤沢町
34410,岩手県,住田町
34614,岩手県,大槌町
34827,岩手県,山田町
34835,岩手県,岩泉町
34843,岩手県,田野畑村
34851,岩手県,普代村
34878,岩手県,川井村
35017,岩手県,軽米町
35033,岩手県,野田村
35068,岩手県,九戸村
35076,岩手県,洋野町
35246,岩手県,一戸町
40002,宮城県,
41009,宮城県,仙台市
42021,宮城県,石巻市
42030,宮城県,塩竈市
42056,宮城県,気仙沼市
42064,宮城県,白石市
42072,宮城県,名取市
42081,宮城県,角田市
42099,宮城県,多賀城市
42111,宮城県,岩沼市
42129,宮城県,登米市
42137,宮城県,栗原市
42145,宮城県,東松島市
42153,宮城県,大崎市
43010,宮城県,蔵王町
43028,宮城県,七ヶ宿町
43214,宮城県,大河原町
43222,宮城県,村田町
43231,宮城県,柴田町
